,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,3540/0 BARÓMETRO DE ENERO 2026,,
1,,AVANCE DE RESULTADOS,,
2,,ESTIMACIÓN DE VOTO,,
3,,,,
4,,,,
5,,Barómetro CIS de enero 2026,,
6,,Voto directo en la encuesta (en % sobre censo),Margen teórico de error*,Estimación de voto CIS (en % sobre el voto válido)
7,PSOE,23.2,"±1,3",31.7
8,PP,15.9,"±1,1",23
9,VOX,13.8,"±1,1",17.7
10,SUMAR**,4.8,"±0,7",7.2
11,Podemos,2.5,"±0,5",3.5
12,ERC,1.3,"±0,4",2.6
13,Se Acabó la Fiesta,1.3,"±0,4",1.8
14,EH Bildu,1,"±0,3",1.5
15,Junts,0.7,"±0,3",1
16,EAJ-PNV,0.5,"±0,2",1
17,BNG,0.8,"±0,3",0.9
18,CCa,0.2,"±0,1",0.3
19,UPN,0.02,"±0,04",0.1
20,Otros partidos,3.8,"±0,6",6.4
21,En blanco,3.5,"±0,6",1.3
22,Voto Nulo,1.9,"±0,4",
23,Abstención (“No votaría”),6.3,"±0,8",
24,No sabe,15.3,"±1,1",
25,No contesta,3.3,"±0,6",
26,(N),4006,,
27,,,,
28,,,,
29,,,,
30,Como consecuencia del efecto de redondeo del segundo decimal el sumatorio puede no ser exactamente 100.,,,
31,,,,
32,* Intervalo de confianza (95%). ,,,
33,** El voto estimado de SUMAR agrupa a los partidos que firmaron la coalición excepto Podemos.,,,
