Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
3543/0 PREELECTORAL ELECCIONES AUTONÓMICAS 2026. COMUNIDAD AUTÓNOMA DE ARAGÓN,,,,,
,AVANCE DE RESULTADOS,,,,
,ESTIMACIÓN DE VOTO,,,,
,,,,,
,,,,,
,COMUNIDAD AUTÓNOMA DE ARAGON. N=3313,,,,
,Voto directo en la encuesta ,Margen teórico,Estimación (en % sobre el voto válido),Intervalo de la estimación (en %),Intervalo de escaños
,(en % sobre censo), de error*,,,
PP,27.8,"±1,5",35.3,"34,5 – 36,7",25– 29
PSOE,21.5,"±1,4",26.7,"23,3 – 29,1",17 – 23
VOX,12,"±1,1",15.1,"14,3 – 17,1",10 – 13 
CHA,5.4,"±0,8",6.9,"6,0 – 7,7",3 – 5
IU-MOVIMIENTO SUMAR,,"±0,6",5,"3,9 – 5,8",1 – 3
,3.5,,,,
PODEMOS-AV,1.8,"±0,5",2.5,"2,2 – 2,8",0 – 1
TERUEL EXISTE,1.6,"±0,4",2.2,"1,9 – 2,8",1 – 2
SALF,1.6,"±0,4",2,"1,9 – 2,2",-
PAR,1.1,"±0,4",1.5,"1,3 – 1,9",-
Otros partidos,1.2,"±0,4",2.3,"1,1 – 3,6",-
En blanco,1.6,"±0,4",0.5,"0,4 – 0,7",-
Voto Nulo,0.6,"±0,3",,,
Abstención (“No votaría”),3.3,"±0,6",,,
No sabe,14.5,"±1,2",,,
No contesta,2.7,"±0,6",,,
,,,,,
Como consecuencia del efecto de redondeo del segundo decimal el sumatorio puede no ser exactamente 100.,,,,,
,,,,,
* Intervalo de confianza (95%).,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,HUESCA. N=1085,,,,
,Voto directo en la encuesta ,Margen teórico,Estimación (en % sobre el voto válido),Intervalo de la estimación (en %),Intervalo de escaños
,(en % sobre censo), de error*,,,
PP,27.1,"±2,6",34.4,"32,8 – 36,9",7 – 8
